customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
sdv-id-uCOpIY,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.37,215.378,Yes
sdv-id-DFcOGw,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,18.8,No
sdv-id-GfZiwb,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),96.98,6206.373,No
sdv-id-wejIoO,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.33,18.8,No
sdv-id-tlDpIK,Male,0,Yes,Yes,47,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No,One year,No,Mailed check,19.41,1604.186,No
sdv-id-knRFhK,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.8,3224.862,No
sdv-id-ekPSxb,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.95,5500.843,Yes
sdv-id-piTHyQ,Male,0,Yes,No,60,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,69.88,2764.507,No
sdv-id-yVnEaH,Male,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),103.68,1967.763,No
sdv-id-IPnOHm,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),90.33,4965.925,No
sdv-id-xNtYmG,Male,1,No,No,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),72.45,5329.247,No
sdv-id-HrqiQU,Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.47,1378.63,No
sdv-id-sbAwrO,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.99,664.364,No
sdv-id-dQCoKl,Male,0,Yes,No,1,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,46.9,171.484,Yes
sdv-id-ATuhOL,Male,0,No,No,16,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),51.84,611.954,No
sdv-id-fcdrWN,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.55,288.93,No
sdv-id-ekgNmC,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.45,100.163,Yes
sdv-id-KXUeye,Male,0,No,No,9,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.5,91.072,Yes
sdv-id-DofnTO,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,81.88,3768.239,No
sdv-id-JiTlfR,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.7,859.94,No
sdv-id-bhRVZs,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.49,18.8,No
sdv-id-atJrij,Male,0,Yes,No,20,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,27.56,18.8,No
sdv-id-xKMkmJ,Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),58.0,18.8,No
sdv-id-QYnDDi,Male,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.12,1093.211,No
sdv-id-JSXeas,Male,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,73.92,4301.175,No
sdv-id-RwEXwB,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.57,358.099,No
sdv-id-qznBbG,Male,0,No,No,57,Yes,No,No,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),70.39,1126.095,No
sdv-id-oHiZpY,Male,0,No,No,58,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.84,2056.14,No
sdv-id-iixvax,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.75,764.585,No
sdv-id-fioaSK,Male,0,No,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),76.57,4366.765,No
sdv-id-sokADt,Male,1,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.95,2613.394,No
sdv-id-IAvIlw,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.46,36.011,No
sdv-id-VcZgmq,Male,0,No,Yes,32,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),44.03,1903.012,No
sdv-id-zVRFKG,Male,0,No,No,71,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),52.82,5202.142,No
sdv-id-ESOUpb,Female,0,No,No,3,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,41.73,48.387,Yes
sdv-id-NEelCD,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),104.79,7240.92,No
sdv-id-FSTSsK,Female,1,No,No,1,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.3,2557.443,Yes
sdv-id-PLIpBT,Male,0,No,Yes,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),77.57,863.11,No
sdv-id-FduiqA,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.92,3631.011,No
sdv-id-gxWIEv,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.55,88.529,Yes
sdv-id-sFYJZm,Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.88,328.606,No
sdv-id-xxVnIQ,Male,0,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,2127.571,No
sdv-id-rlLViW,Female,0,No,No,61,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),75.43,1938.433,No
sdv-id-XXMlFt,Male,1,No,No,3,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,46.92,133.41,No
sdv-id-lJgyrb,Male,0,Yes,Yes,21,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,47.86,18.8,No
sdv-id-gMRobY,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.72,373.665,No
sdv-id-MuiUWQ,Female,0,Yes,No,65,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,79.83,3901.109,No
sdv-id-HJoErq,Male,0,No,No,69,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),37.13,2084.085,No
sdv-id-LtIzod,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),86.06,2754.701,No
sdv-id-MkSrUR,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.94,1677.515,No
sdv-id-PYFqHF,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.02,117.982,No
sdv-id-QdbtEt,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,76.06,162.617,Yes
sdv-id-AlAEbN,Male,1,No,No,21,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.3,117.425,Yes
sdv-id-OOuBpn,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.1,2330.598,No
sdv-id-ehPPJQ,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.43,18.8,No
sdv-id-RQOvat,Male,1,No,No,3,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.57,3417.12,No
sdv-id-yBUqof,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),103.63,3117.108,No
sdv-id-NSzgfi,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.5,2882.415,No
sdv-id-NHPBfJ,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),56.87,3808.548,No
sdv-id-SvAaUH,Male,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.35,374.742,No
sdv-id-Ochlnt,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.58,503.598,No
sdv-id-kxNXlc,Female,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,46.12,45.213,No
sdv-id-pNITQx,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),97.55,6319.355,No
sdv-id-duxrZU,Female,1,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,57.63,1387.598,Yes
sdv-id-pAxkHC,Male,1,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,2281.638,Yes
sdv-id-vhyToQ,Female,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),103.97,3461.666,No
sdv-id-lCkBcH,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.71,594.203,No
sdv-id-uWvJgU,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.36,6386.895,No
sdv-id-IZVWRn,Male,1,No,No,44,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),83.69,6240.464,No
sdv-id-ZiHHPV,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),75.28,2965.774,No
sdv-id-vDczXc,Male,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.3,5359.896,No
sdv-id-yfakMX,Male,0,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,76.09,5917.657,Yes
sdv-id-fXdKCV,Male,0,No,No,45,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.03,1066.999,Yes
sdv-id-gAxbXi,Male,0,No,No,72,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),88.76,2771.75,No
sdv-id-wEldtF,Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.78,32.658,Yes
sdv-id-KGHHfj,Male,0,No,No,3,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.99,18.8,No
sdv-id-WtenBH,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),70.69,5071.521,No
sdv-id-XUzRyK,Male,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,52.73,272.214,No
sdv-id-ftTiCp,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.38,1847.938,Yes
sdv-id-IRvvIW,Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.72,171.889,No
sdv-id-fDILGu,Female,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.03,60.61,No
sdv-id-nsjCjz,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.72,46.655,No
sdv-id-SkGMnK,Male,0,No,No,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.67,1777.182,Yes
sdv-id-iACJoG,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,103.6,1305.756,No
sdv-id-KfcYTf,Female,0,No,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),69.17,3496.569,No
sdv-id-WMuTmi,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.3,139.462,Yes
sdv-id-tRiXhh,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),68.06,4574.488,No
sdv-id-GhkfEk,Male,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.98,3069.379,No
sdv-id-sBHopM,Female,0,No,No,54,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,33.73,1138.225,No
sdv-id-AvZQqH,Male,1,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.59,4387.511,Yes
sdv-id-rnoPUI,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,55.7,3607.277,No
sdv-id-FQHjXr,Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,82.42,5734.503,Yes
sdv-id-WECOnu,Male,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.37,550.286,No
sdv-id-aIIgga,Female,1,No,No,4,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.61,921.408,Yes
sdv-id-xeuXdq,Female,0,Yes,No,50,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),48.29,1450.88,No
sdv-id-mhzvZc,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.63,6675.605,No
sdv-id-EVavya,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),74.69,4840.879,No
sdv-id-zNbKYX,Male,1,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,75.27,4601.162,No
sdv-id-ihbZWG,Male,0,No,No,71,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.4,6050.727,No
sdv-id-ZvIkTL,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.31,1161.74,No
sdv-id-VhZavu,Male,0,Yes,No,51,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),46.93,3350.399,No
sdv-id-VDTZZx,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.44,18.8,No
sdv-id-DihKlb,Male,0,No,Yes,40,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),46.93,1905.68,No
sdv-id-jrptEI,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.65,18.8,Yes
sdv-id-XklEJs,Male,0,No,No,32,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),63.54,1600.149,No
sdv-id-lFrkDC,Male,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.07,579.787,No
sdv-id-pedodN,Male,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.33,1926.569,No
sdv-id-KFdbft,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.89,18.8,No
sdv-id-LhgmNT,Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,107.05,6567.27,Yes
sdv-id-NRokeq,Male,0,No,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),75.69,6024.542,No
sdv-id-KiYGdW,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.42,100.257,Yes
sdv-id-ZAwPaj,Female,1,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.18,943.236,No
sdv-id-cXoTDa,Female,0,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),46.8,6727.302,No
sdv-id-nQZMTG,Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,51.34,185.356,No
sdv-id-UIiIwi,Male,1,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.8,5553.163,No
sdv-id-DOpHOP,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.88,2090.305,No
sdv-id-tsvAIh,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.26,971.202,No
sdv-id-GeZCaQ,Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.15,468.481,No
sdv-id-iiScun,Male,0,No,No,4,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,44.5,18.8,No
sdv-id-IKKTHg,Female,0,No,No,28,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.78,3587.343,No
sdv-id-GUmrXr,Male,1,No,No,2,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,64.53,173.259,No
sdv-id-EOlPQi,Male,0,Yes,Yes,21,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,56.09,2751.929,No
sdv-id-fyXpIr,Male,0,No,No,40,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),39.86,1647.985,No
sdv-id-YTzysP,Male,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),107.96,7277.116,No
sdv-id-buxUvC,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.18,6898.879,No
sdv-id-knENFh,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.58,106.612,No
sdv-id-chMPpy,Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.62,3275.517,No
sdv-id-PSPDQX,Male,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),65.79,4120.519,No
sdv-id-cmmmBI,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.25,158.24,No
sdv-id-heeHhx,Male,1,No,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.41,1971.653,No
sdv-id-VKIhzf,Male,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.54,485.782,No
sdv-id-aVvRDn,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.81,38.513,No
sdv-id-lQbejb,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.3,602.776,No
sdv-id-bxeVxk,Female,1,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),83.04,1025.11,No
sdv-id-DgqEFs,Female,1,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,58.88,327.955,No
sdv-id-lTpKgB,Female,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.25,5277.413,No
sdv-id-QaatQJ,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),106.56,3343.983,No
