gender,SeniorCitizen,Partner,Dependents,Antiguedad,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.0,589.952
Female,0,No,No,8,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,26.39,28.354
Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),101.83,7180.817
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.94,3819.086
Female,0,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.27,988.938
Male,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.09,848.01
Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,53.18,33.412
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.97,860.024
Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,43.96,220.659
Female,1,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.35,321.351
Female,0,Yes,No,5,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,64.16,118.644
Male,1,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),74.44,871.742
Male,0,No,Yes,35,No,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),36.44,2906.636
Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.06,1112.449
Male,0,Yes,Yes,23,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.11,1086.467
Female,0,No,No,10,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),21.08,666.107
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.61,721.29
Female,0,Yes,No,55,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.86,6623.41
Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.95,23.455
Male,0,No,No,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,27.94,18.8
Female,0,No,No,24,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,30.16,851.494
Female,0,Yes,No,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),102.01,6962.175
Female,0,No,No,68,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.9,6170.06
Female,1,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,86.68,6461.698
Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.26,449.738
Male,0,Yes,Yes,69,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),77.48,3211.878
Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,72.09,808.349
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,96.57,18.8
Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,326.675
Female,1,Yes,No,72,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,67.14,2856.894
Female,0,No,No,57,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),110.6,6259.984
Female,0,No,Yes,58,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.54,1241.817
Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.58,3899.911
Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,2554.703
Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.62,99.588
Male,0,No,Yes,20,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),72.59,1621.258
Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.31,7509.914
Male,0,Yes,Yes,39,No,No,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),44.97,4491.262
Male,0,No,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.88,56.114
Female,1,No,No,1,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,53.39,605.979
Female,0,Yes,Yes,8,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),41.38,1081.871
Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.45,5634.592
Female,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.3,1954.98
Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.81,596.207
Female,1,No,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),70.42,4034.569
Female,1,Yes,Yes,35,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.11,4469.438
Female,1,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),65.35,5015.033
Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.96,81.9
Male,1,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,84.11,6710.984
Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,71.52,4308.777
Female,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.91,4335.326
Male,0,Yes,Yes,41,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),66.61,1112.902
Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,477.219
Male,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.15,1421.429
Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,81.66,1331.306
Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,107.21,134.464
Male,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.73,46.378
Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,80.78,5314.283
Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.09,3704.318
Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.02,488.933
Male,0,No,No,59,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),94.91,5539.027
Female,0,Yes,Yes,14,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.79,603.377
Female,0,No,No,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.63,733.495
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.97,468.492
Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.49,1333.324
Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),97.33,902.945
Female,0,No,No,3,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.48,342.508
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.04,5515.726
Female,1,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.43,396.03
Female,1,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),106.5,7659.195
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),87.61,5197.672
Female,0,No,Yes,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,46.27,694.983
Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.06,2975.026
Male,0,Yes,Yes,68,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),100.13,7378.584
Male,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.1,1097.601
Female,0,No,Yes,70,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),85.98,7227.505
Male,0,No,No,53,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),100.09,4464.807
Female,0,No,No,60,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,51.22,1635.031
Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.03,525.141
Female,0,No,No,40,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),75.88,5752.945
Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),68.65,4257.091
Female,0,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,26.31,144.458
Male,1,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.75,951.942
Female,1,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.52,770.953
Female,0,Yes,No,72,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),32.35,4547.536
Male,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.3,3453.694
Female,1,Yes,No,64,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.37,7463.628
Female,0,No,No,21,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),33.46,224.657
Male,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),104.47,2183.644
Female,0,Yes,No,50,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.91,5293.112
Female,0,Yes,Yes,9,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.18,1586.415
Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),100.53,6392.475
Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,101.8,4086.754
Male,0,Yes,No,1,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,35.35,18.8
Male,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.66,260.292
Male,0,Yes,Yes,69,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),105.12,6408.11
Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.99,1063.37
Female,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),88.03,3799.062
Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.89,822.983
Female,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),20.21,2894.964
Female,0,Yes,Yes,68,Yes,Yes,No,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),21.14,2022.933
Female,0,No,No,0,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,21.03,243.559
Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),102.67,8129.97
Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.71,191.669
Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,1084.819
Female,0,Yes,No,46,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),85.13,4174.253
Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,85.85,3851.486
Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,103.73,4011.391
Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.27,431.886
Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.58,2199.463
Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.89,959.315
Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.71,805.975
Male,1,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,92.39,1147.082
Female,0,Yes,No,43,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),91.65,25.432
Female,0,Yes,No,69,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),37.08,7866.085
Female,0,Yes,Yes,24,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),34.39,307.038
Female,0,Yes,No,13,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),49.05,551.642
Female,0,Yes,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,91.56,5965.135
Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.4,702.237
Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,38.73,1419.045
Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,32.31,798.058
Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.15,135.412
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.51,4824.737
Male,0,No,No,37,No,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),75.09,2019.35
Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.06,138.813
Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.88,177.971
Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.9,228.401
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,32.34,18.8
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.31,45.175
Female,1,Yes,No,29,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,97.58,485.467
Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),70.3,1833.798
Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),110.45,2496.979
Male,0,No,No,19,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,54.05,590.725
Female,1,No,No,49,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.07,36.262
Male,1,No,No,59,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.68,925.721
Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.08,537.1
Female,0,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.41,2221.777
Female,0,No,Yes,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.29,930.403
Female,0,Yes,No,57,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.73,7274.618
Male,1,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,111.82,4862.767
Male,0,Yes,Yes,63,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),86.36,2788.769
Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.91,774.374
Male,1,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.19,6410.034
Male,0,No,No,5,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.11,3612.496
Female,0,No,Yes,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),66.07,993.354
Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.69,1065.115
Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.56,482.527
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,91.58,1023.941
Female,0,Yes,No,10,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,49.92,4342.953
Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.98,5922.403
Female,0,Yes,No,50,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),42.13,1108.888
Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.08,849.592
Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,402.836
Female,0,No,No,10,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,24.61,201.652
Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.97,799.46
Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.27,1877.877
Male,1,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.92,7149.525
Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,104.99,7830.341
Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.27,130.153
Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.8,821.255
Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,591.834
Female,0,No,No,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,34.41,74.132
Male,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.4,37.043
Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,873.638
Male,0,No,No,52,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),30.76,1138.862
Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,777.725
