customerID,gender,SeniorCitizen,Partner,Dependents,Antiguedad,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Probabilidad_%,Prevision,Accion_Recomendada,Nivel_Gasto
sdv-id-TJRNGW,Female,1,Yes,No,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,59.19,8087.024,55.24,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-PtHatA,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,97.24,1794.473,49.92,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,ALTO
sdv-id-OASRxR,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.33,1374.591,72.15,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-HWMHji,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,27.59,645.163,49.28,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-eARzce,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),68.06,7094.955,28.27,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,MEDIO
sdv-id-JRqtoJ,Male,0,No,No,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),37.63,137.307,43.56,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,MEDIO
sdv-id-LhzQFb,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.93,241.096,68.93,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-yizlfe,Female,1,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,96.22,7799.49,54.52,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-uCOpIY,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),74.47,1838.457,38.94,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-DFcOGw,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.34,62.574,36.37,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,BAJO
sdv-id-GfZiwb,Female,0,No,Yes,59,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),56.21,4482.864,30.89,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,MEDIO
sdv-id-wejIoO,Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.21,1260.943,18.42,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,BAJO
sdv-id-tlDpIK,Female,0,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.74,139.867,58.93,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-knRFhK,Female,0,No,Yes,72,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),40.14,2790.19,27.44,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,MEDIO
sdv-id-ekPSxb,Female,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.5,6802.154,55.08,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-piTHyQ,Male,0,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,107.5,5611.766,45.36,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-yVnEaH,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.06,1563.652,67.56,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-IPnOHm,Female,1,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),96.23,7838.216,43.89,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-xNtYmG,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),79.68,6942.684,30.79,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-HrqiQU,Male,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.17,40.448,28.71,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-sbAwrO,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.03,199.268,17.57,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-dQCoKl,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.56,5190.335,46.76,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-ATuhOL,Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.23,1639.158,63.53,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-fcdrWN,Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.91,98.2,81.26,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-ekgNmC,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),85.8,2977.343,59.51,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-KXUeye,Male,0,No,Yes,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,27.99,26.629,56.63,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual. Ofrece un descuento 20% si se pasa al plan anual y un servicio gratis.,ALTO
sdv-id-DofnTO,Male,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.49,3513.675,50.62,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-JiTlfR,Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,97.86,1502.465,48.04,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-bhRVZs,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.06,1480.465,24.57,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-atJrij,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,47.86,65.507,59.69,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-xKMkmJ,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.78,995.936,42.95,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-QYnDDi,Female,1,No,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.72,1457.337,74.29,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-JSXeas,Male,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,98.39,3977.987,40.67,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-RwEXwB,Male,0,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.28,43.935,25.6,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-qznBbG,Female,1,No,No,36,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.68,825.934,69.91,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-oHiZpY,Male,0,No,No,4,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,30.78,18.8,60.34,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-iixvax,Male,0,No,No,42,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.26,5131.368,36.34,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-fioaSK,Female,1,No,No,71,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.17,3943.66,54.37,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-sokADt,Male,1,No,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.2,6485.395,64.49,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-IAvIlw,Male,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.23,151.621,31.65,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-VcZgmq,Male,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.08,652.842,24.77,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-zVRFKG,Female,1,No,Yes,32,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.12,3539.21,59.37,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-ESOUpb,Female,1,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.99,1097.593,76.05,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-NEelCD,Female,1,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.88,6608.741,70.66,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-FSTSsK,Female,1,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),75.36,7615.857,55.66,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-PLIpBT,Male,0,Yes,Yes,61,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.82,5210.123,32.84,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-FduiqA,Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.69,1579.918,72.71,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-gxWIEv,Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.17,125.011,79.38,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-sFYJZm,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.27,3235.667,10.8,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-xxVnIQ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,585.063,29.6,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,BAJO
sdv-id-rlLViW,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),66.73,8236.976,28.76,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,MEDIO
sdv-id-XXMlFt,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),101.56,4557.189,62.33,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-lJgyrb,Male,0,No,No,48,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.05,136.401,65.35,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-gMRobY,Male,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,100.762,33.73,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,BAJO
sdv-id-MuiUWQ,Female,1,Yes,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,53.89,18.8,76.61,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-HJoErq,Female,0,Yes,No,24,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),54.74,2053.789,41.55,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,MEDIO
sdv-id-LtIzod,Male,1,No,No,58,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.18,1453.392,59.48,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-MkSrUR,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.02,636.077,19.71,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-PYFqHF,Male,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.73,18.8,39.89,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,BAJO
sdv-id-QdbtEt,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.67,1587.326,61.67,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-AlAEbN,Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.13,7741.838,49.88,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-OOuBpn,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.17,1970.703,71.25,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-ehPPJQ,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.95,182.394,32.1,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-RQOvat,Male,1,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),88.24,4676.026,48.35,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-yBUqof,Male,0,No,Yes,28,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),50.19,4231.391,33.29,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,MEDIO
sdv-id-NSzgfi,Female,1,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,100.25,242.283,81.02,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-NHPBfJ,Male,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),91.64,740.357,30.62,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,ALTO
sdv-id-SvAaUH,Female,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.01,18.8,26.22,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-Ochlnt,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.39,1126.793,23.88,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,BAJO
sdv-id-kxNXlc,Male,1,No,No,47,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),51.1,3483.373,50.54,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
sdv-id-pNITQx,Male,1,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.87,3639.145,63.38,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-duxrZU,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.27,229.694,69.08,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-pAxkHC,Male,1,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,103.27,101.157,83.49,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-vhyToQ,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.68,1183.83,48.22,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,ALTO
sdv-id-lCkBcH,Male,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.09,1269.977,20.03,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-uWvJgU,Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.22,482.61,58.68,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,MEDIO
